Instrument.Name,Code,Expansion,PatientSeverity,ControlSeverity,LISUpload,Report
CentaurXP_3,Cal Accepted,Cal Accepted,1,1,yes,yes
CentaurXP_3,Cal Assigned,Cal Assigned,1,1,yes,yes
CentaurXP_3,Cal Invalid,Cal Invalid,1,1,yes,yes
CentaurXP_3,Clot detected,Clot detected,1,1,yes,yes
CentaurXP_3,Conf N/A,Conf N/A,1,1,yes,yes
CentaurXP_3,Ctrl Br Restricted,Restricted Control Bracketed,1,1,yes,yes
CentaurXP_3,Ctrl Bracketed,Control Bracketed,1,1,yes,yes
CentaurXP_3,Diluted,Diluted,1,1,yes,yes
CentaurXP_3,Edited,Edited,1,1,yes,yes
CentaurXP_3,Entered,Entered,1,1,yes,yes
CentaurXP_3,Excluded,Excluded,1,1,yes,yes
CentaurXP_3,H,High,1,1,yes,yes
CentaurXP_3,High CV,High CV,1,1,yes,yes
CentaurXP_3,Insufficient,Insufficient,1,1,yes,yes
CentaurXP_3,Integrity Error,Integrity Error,1,1,yes,yes
CentaurXP_3,Investigational,Investigational,1,1,yes,yes
CentaurXP_3,L,Low,1,1,yes,yes
CentaurXP_3,Manual Dilution,Manual Dilution,1,1,yes,yes
CentaurXP_3,Material Expired,Material Expired,1,1,yes,yes
CentaurXP_3,No Cal Lot Match,No Cal Lot Match,1,1,yes,yes
CentaurXP_3,No Calculation,No Calculation,1,1,yes,yes
CentaurXP_3,No Dil Allowed,No Dil Allowed,1,1,yes,yes
CentaurXP_3,No Lot Match,No Lot Match,1,1,yes,yes
CentaurXP_3,No Reagent,No Reagent,1,1,yes,yes
CentaurXP_3,Operator Entered,Operator Entered,1,1,yes,yes
CentaurXP_3,Out,Out,1,1,yes,yes
CentaurXP_3,Overdiluted,Overdiluted,1,1,yes,yes
CentaurXP_3,Redilute,Redilute,1,1,yes,yes
CentaurXP_3,Repeated,Repeated,1,1,yes,yes
CentaurXP_3,Restricted,Restricted,1,1,yes,yes
CentaurXP_3,Signal Error,Signal Error,1,1,yes,yes
CentaurXP_3,Waived,Waived,1,1,yes,yes
Advia2400_3,A,A,1,1,yes,yes
Advia2400_3,b,b,1,1,yes,yes
Advia2400_3,F,F,1,1,yes,yes
Advia2400_3,G,G,1,1,yes,yes
Advia2400_3,K,K,5,5,yes,yes
Advia2400_3,k,k,1,1,yes,yes
Advia2400_3,j,j,1,1,yes,yes
Advia2400_3,M,M,1,1,yes,yes
Advia2400_3,Q,Q,1,1,yes,yes
Advia2400_1,A,A,1,1,yes,yes
Advia2400_1,b,b,1,1,yes,yes
Advia2400_1,F,F,1,1,yes,yes
Advia2400_1,G,G,1,1,yes,yes
Advia2400_1,K,K,1,1,yes,yes
Advia2400_1,k,k,1,1,yes,yes
Advia2400_1,j,j,1,1,yes,yes
Advia2400_1,M,M,1,1,yes,yes
Advia2400_1,Q,Q,1,1,yes,yes
Advia2400_2,A,A,1,1,yes,yes
Advia2400_2,b,b,1,1,yes,yes
Advia2400_2,F,F,1,1,yes,yes
Advia2400_2,G,G,1,1,yes,yes
Advia2400_2,K,K,1,1,yes,yes
Advia2400_2,k,k,1,1,yes,yes
Advia2400_2,j,j,1,1,yes,yes
Advia2400_2,M,M,1,1,yes,yes
Advia2400_2,Q,Q,1,1,yes,yes
Advia2400_4,A,A,1,1,yes,yes
Advia2400_4,b,b,1,1,yes,yes
Advia2400_4,F,F,1,1,yes,yes
Advia2400_4,G,G,1,1,yes,yes
Advia2400_4,K,K,5,5,yes,yes
Advia2400_4,k,k,1,1,yes,yes
Advia2400_4,j,j,1,1,yes,yes
Advia2400_4,M,M,1,1,yes,yes
Advia2400_4,Q,Q,1,1,yes,yes
